First Blood;1982
The Thing;1982
Poltergeist;1982
Blade Runner;1982
Firefox;1982
The Best Little Whorehouse in Texas;1982
Megaforce;1982
The Verdict;1982
Tootsie;1982
Cat People;1982
Star Trek II: The Wrath of Khan;1982
E.T. the Extra-Terrestrial;1982
Diner;1982
The Beastmaster;1982
Jekyll and Hyde... Together Again;1982
Fast Times at Ridgemont High;1982
Halloween III: Season of the Witch;1982
Friday the 13th Part III;1982
The Ballad of Gregorio Cortez;1982
Butterfly;1982
Star Wars: Episode VI - Return of the Jedi;1983
The Right Stuff;1983
Scarface;1983
National Lampoon's Vacation;1983
WarGames;1983
Twilight Zone: The Movie;1983
The Outsiders;1983
The Dead Zone;1983
Trading Places;1983
Flashdance;1983
Lone Wolf McQuade;1983
A Christmas Story;1983
Love Letters;1983
Red Dawn;1984
The Cotton Club;1984
Dune;1984
The Karate Kid;1984
A Nightmare on Elm Street;1984
Indiana Jones and the Temple of Doom;1984
Footloose;1984
Star Trek III: The Search for Spock;1984
Amadeus;1984
Conan the Destroyer;1984
Beverly Hills Cop;1984
Firestarter;1984
Gremlins;1984
Body Double;1984
The Ice Pirates;1984
Splash;1984
Police Academy;1984
Friday the 13th: The Final Chapter;1984
Repo Man;1984
C.H.U.D.;1984
The Toxic Avenger;1984
Rambo: First Blood Part II;1985
Out of Africa;1985
Silverado;1985
Ladyhawke;1985
Back to the Future;1985
Young Sherlock Holmes;1985
Day of the Dead;1985
The Color Purple;1985
Witness;1985
Commando;1985
The Last Dragon;1985
Invasion U.S.A.;1985
Pale Rider;1985
The Return of the Living Dead;1985
A Nightmare on Elm Street 2: Freddy's Revenge;1985
Krush Groove;1985
Friday the 13th: A New Beginning;1985
Legal Eagles;1986
Little Shop of Horrors;1986
Howard the Duck;1986
Big Trouble in Little China;1986
Star Trek IV: The Voyage Home;1986
Peggy Sue Got Married;1986
9½ Weeks;1986
The Wraith;1986
Aliens;1986
Top Gun;1986
The Clan of the Cave Bear;1986
The Golden Child;1986
Invaders from Mars;1986
The Color of Money;1986
Stand by Me;1986
April Fool's Day;1986
The Texas Chainsaw Massacre 2;1986
Jason Lives: Friday the 13th Part VI;1986
River's Edge;1986
She's Gotta Have It;1986
Ishtar;1987
The Running Man;1987
The Untouchables;1987
Jaws: The Revenge;1987
Spaceballs;1987
Beverly Hills Cop II;1987
Predator;1987
Wall Street;1987
Radio Days;1987
3 Men and a Baby;1987
The Princess Bride;1987
Fatal Attraction;1987
Good Morning, Vietnam;1987
Malone;1987
The Lost Boys;1987
La Bamba;1987
A Nightmare on Elm Street 3: Dream Warriors;1987
The Barbarians;1987
Prison;1987
Creepshow 2;1987
Evil Dead II;1987
Teen Wolf Too;1987
The Brave Little Toaster;1987
From a Whisper to a Scream;1987
American Ninja 2: The Confrontation;1987
Hollywood Shuffle;1987
Rambo III;1988
Scrooged;1988
Midnight Run;1988
Die Hard;1988
Rain Man;1988
Bright Lights, Big City;1988
Dangerous Liaisons;1988
Big;1988
My Stepmother Is an Alien;1988
Twins;1988
Beetlejuice;1988
A Nightmare on Elm Street 4: The Dream Master;1988
Young Guns;1988
The Land Before Time;1988
Poltergeist III;1988
Child's Play;1988
Action Jackson;1988
The Last Temptation of Christ;1988
School Daze;1988
Mystic Pizza;1988
Halloween 4: The Return of Michael Myers;1988
Lady in White;1988
They Live;1988
Talk Radio;1988
Phantasm II;1988
Friday the 13th Part VII: The New Blood;1988
Bloodsport;1988
The Abyss;1989
Tango & Cash;1989
Indiana Jones and the Last Crusade;1989
Back to the Future Part II;1989
Batman;1989
Star Trek V: The Final Frontier;1989
Black Rain;1989
Glory;1989
We're No Angels;1989
Sea of Love;1989
Troop Beverly Hills;1989
Dead Poets Society;1989
When Harry Met Sally...;1989
New York Stories;1989
Born on the Fourth of July;1989
Pet Sematary;1989
Major League;1989
Bill & Ted's Excellent Adventure;1989
Road House;1989
Driving Miss Daisy;1989
Warlock;1989
A Nightmare on Elm Street 5: The Dream Child;1989
Halloween 5;1989
Do the Right Thing;1989
Friday the 13th Part VIII: Jason Takes Manhattan;1989
UHF;1989
The Toxic Avenger Part II;1989
Sex, Lies, and Videotape;1989
Roger & Me;1989
Total Recall;1990
Die Hard 2;1990
Days of Thunder;1990
The Godfather: Part III;1990
Gremlins 2: The New Batch;1990
The Adventures of Ford Fairlane;1990
Dick Tracy;1990
Back to the Future Part III;1990
Predator 2;1990
Arachnophobia;1990
The Hunt for Red October;1990
Kindergarten Cop;1990
Flatliners;1990
Goodfellas;1990
Ghost;1990
Edward Scissorhands;1990
Dances with Wolves;1990
Home Alone;1990
Pretty Woman;1990
Child's Play 2;1990
Mo' Better Blues;1990
Tremors;1990
Spaced Invaders;1990
Marilyn Hotchkiss' Ballroom Dancing and Charm School;1990
Metropolitan;1990
Midnight Cabaret;1990
Terminator 2: Judgment Day;1991
Hook;1991
Hudson Hawk;1991
Robin Hood: Prince of Thieves;1991
The Doors;1991
Cape Fear;1991
Flight of the Intruder;1991
The Addams Family;1991
The Prince of Tides;1991
Star Trek VI: The Undiscovered Country;1991
Teenage Mutant Ninja Turtles II: The Secret of the Ooze;1991
Stone Cold;1991
The Fisher King;1991
The Naked Gun 2½: The Smell of Fear;1991
Harley Davidson and the Marlboro Man;1991
The Silence of the Lambs;1991
Bill & Ted's Bogus Journey;1991
My Girl;1991
Double Impact;1991
White Fang;1991
Return to the Blue Lagoon;1991
Showdown in Little Tokyo;1991
Boyz n the Hood;1991
Beastmaster 2: Through the Portal of Time;1991
Freddy's Dead: The Final Nightmare;1991
House Party 2;1991
My Own Private Idaho;1991
Straight Out of Brooklyn;1991
Slacker;1991
Batman Returns;1992
Death Becomes Her;1992
Alien 3;1992
Patriot Games;1992
Boomerang;1992
A League of Their Own;1992
Bram Stoker's Dracula;1992
The Last of the Mohicans;1992
Medicine Man;1992
Memoirs of an Invisible Man;1992
Lethal Weapon 3;1992
Malcolm X;1992
Hoffa;1992
Radio Flyer;1992
A Few Good Men;1992
Aladdin;1992
The Bodyguard;1992
Home Alone 2: Lost in New York;1992
Wayne's World;1992
Unforgiven;1992
Glengarry Glen Ross;1992
The Muppet Christmas Carol;1992
My Cousin Vinny;1992
Raising Cain;1992
Army of Darkness;1992
The Mighty Ducks;1992
Light Sleeper;1992
Reservoir Dogs;1992
El Mariachi;1992
Last Action Hero;1993
Cliffhanger;1993
Jurassic Park;1993
The Pelican Brief;1993
The Fugitive;1993
The Firm;1993
Blood In, Blood Out;1993
The Age of Innocence;1993
Alive;1993
Hocus Pocus;1993
Mrs. Doubtfire;1993
Schindler's List;1993
Tombstone;1993
Gettysburg;1993
RoboCop 3;1993
Teenage Mutant Ninja Turtles III;1993
The Nutcracker;1993
Philadelphia;1993
What's Love Got to Do with It;1993
Nowhere to Run;1993
Groundhog Day;1993
Cool Runnings;1993
Poetic Justice;1993
Loaded Weapon 1;1993
Excessive Force;1993
True Romance;1993
What's Eating Gilbert Grape;1993
Sugar Hill;1993
Dazed and Confused;1993
The Adventures of Huck Finn;1993
Only the Strong;1993
Menace II Society;1993
Jason Goes to Hell: The Final Friday;1993
Warlock: The Armageddon;1993
Return of the Living Dead III;1993
Ed and His Dead Mother;1993
Airborne;1993
Ruby in Paradise;1993
True Lies;1994
The Lion King;1994
Wolf;1994
Wyatt Earp;1994
Clear and Present Danger;1994
Forrest Gump;1994
Disclosure;1994
Interview with the Vampire: The Vampire Chronicles;1994
Beverly Hills Cop III;1994
On Deadly Ground;1994
Baby's Day Out;1994
The Flintstones;1994
The Client;1994
The River Wild;1994
Ri¢hie Ri¢h;1994
The Shadow;1994
Renaissance Man;1994
The Crow;1994
Star Trek: Generations;1994
Speed;1994
Legends of the Fall;1994
Naked Gun 33 1/3: The Final Insult;1994
The Shawshank Redemption;1994
Don Juan DeMarco;1994
The Santa Clause;1994
Bullets Over Broadway;1994
3 Ninjas Kick Back;1994
Rapa Nui;1994
The Mask;1994
Ed Wood;1994
Dumb & Dumber;1994
Little Women;1994
Crooklyn;1994
Serial Mom;1994
Ace Ventura: Pet Detective;1994
There Goes My Baby;1994
A Low Down Dirty Shame;1994
Police Academy: Mission to Moscow;1994
PCU;1994
Pulp Fiction;1994
New Nightmare;1994
The Inkwell;1994
Men of War;1994
Hoop Dreams;1994
Clerks;1994
Waterworld;1995
Batman Forever;1995
Cutthroat Island;1995
Die Hard with a Vengeance;1995
First Knight;1995
Braveheart;1995
Money Train;1995
Apollo 13;1995
The American President;1995
Under Siege 2: Dark Territory;1995
Pocahontas;1995
Casper;1995
Crimson Tide;1995
Casino;1995
Congo;1995
Outbreak;1995
The Scarlet Letter;1995
Jade;1995
The Indian in the Cupboard;1995
Nixon;1995
Kiss of Death;1995
Hackers;1995
Species;1995
Mr. Holland's Opus;1995
Get Shorty;1995
Toy Story;1995
Ace Ventura: When Nature Calls;1995
Se7en;1995
Virtuosity;1995
Rob Roy;1995
Tank Girl;1995
Bad Boys;1995
The Bridges of Madison County;1995
The Net;1995
Mortal Kombat;1995
Copycat;1995
To Die For;1995
Home for the Holidays;1995
Sense and Sensibility;1995
Things to Do in Denver When You're Dead;1995
Vampire in Brooklyn;1995
Clueless;1995
Tales from the Crypt: Demon Knight;1995
The Perez Family;1995
Desperado;1995
Mallrats;1995
The Usual Suspects;1995
Tales from the Hood;1995
Halloween: The Curse of Michael Myers;1995
Leaving Las Vegas;1995
The Jerky Boys;1995
Four Rooms;1995
Friday;1995
Before Sunrise;1995
Kids;1995
Welcome to the Dollhouse;1995
The Prophecy;1995
The Incredibly True Adventure of Two Girls in Love;1995
The Brothers McMullen;1995
Bang;1995
Eraser;1996
The Hunchback of Notre Dame;1996
Twister;1996
Mission: Impossible;1996
Space Jam;1996
Mars Attacks!;1996
Daylight;1996
Independence Day;1996
The Rock;1996
Ransom;1996
Broken Arrow;1996
The Long Kiss Goodnight;1996
Jingle All the Way;1996
Up Close & Personal;1996
DragonHeart;1996
The Nutty Professor;1996
Executive Decision;1996
Evita;1996
The Ghost and the Darkness;1996
Chain Reaction;1996
The Fan;1996
Jerry Maguire;1996
Striptease;1996
Escape from L.A.;1996
The Cable Guy;1996
Mary Reilly;1996
Star Trek: First Contact;1996
Courage Under Fire;1996
Tin Cup;1996
The Glimmer Man;1996
Multiplicity;1996
Sleepers;1996
The Juror;1996
The Mirror Has Two Faces;1996
A Time to Kill;1996
The Island of Dr. Moreau;1996
City Hall;1996
Sgt. Bilko;1996
Extreme Measures;1996
White Squall;1996
Ghosts of Mississippi;1996
The English Patient;1996
Phenomenon;1996
Bogus;1996
The First Wives Club;1996
Fled;1996
Blood and Wine;1996
Flipper;1996
Kingpin;1996
Maximum Risk;1996
Mrs. Winterbourne;1996
Marvin's Room;1996
My Fellow Americans;1996
Eye for an Eye;1996
From Dusk Till Dawn;1996
Everyone Says I Love You;1996
Scream;1996
Spy Hard;1996
The Craft;1996
Romeo + Juliet;1996
Thinner;1996
Harriet the Spy;1996
Faithful;1996
The Funeral;1996
Beavis and Butt-Head Do America;1996
Girl 6;1996
Happy Gilmore;1996
Set It Off;1996
A Thin Line Between Love and Hate;1996
The Pallbearer;1996
Flirting with Disaster;1996
Lone Star;1996
Bottle Rocket;1996
Albino Alligator;1996
Sling Blade;1996
Bound;1996
Waiting for Guffman;1996
She's the One;1996
Kama Sutra: A Tale of Love;1996
Basquiat;1996
Freeway;1996
That Thing You Do!;1996
Get on the Bus;1996
Trees Lounge;1996
The Last Big Thing;1996
Swingers;1996
Titanic;1997
Batman & Robin;1997
Dante's Peak;1997
Speed 2: Cruise Control;1997
Starship Troopers;1997
The Spanish Prisoner;1997
Men in Black;1997
Contact;1997
The Saint;1997
Volcano;1997
The Devil's Own;1997
Air Force One;1997
Face/Off;1997
Con Air;1997
Flubber;1997
Conspiracy Theory;1997
Déjà Vu;1997
The Edge;1997
The Postman;1997
The Lost World: Jurassic Park;1997
Seven Years in Tibet;1997
The Jackal;1997
Alien: Resurrection;1997
The Devil's Advocate;1997
George of the Jungle;1997
Turbulence;1997
Anastasia;1997
As Good as It Gets;1997
Absolute Power;1997
G.I. Jane;1997
The Game;1997
The Peacemaker;1997
Mad City;1997
My Best Friend's Wedding;1997
Liar Liar;1997
Anaconda;1997
Shadow Conspiracy;1997
Spawn;1997
The Rainmaker;1997
Amistad;1997
Switchback;1997
Breakdown;1997
Gattaca;1997
L.A. Confidential;1997
In & Out;1997
Donnie Brasco;1997
Midnight in the Garden of Good and Evil;1997
Warriors of Virtue;1997
Cats Don't Dance;1997
Mortal Kombat: Annihilation;1997
A Simple Wish;1997
Kundun;1997
Kiss the Girls;1997
Snow White: A Tale of Terror;1997
Nothing to Lose;1997
Money Talks;1997
Scream 2;1997
Selena;1997
The Man Who Knew Too Little;1997
Deconstructing Harry;1997
Austin Powers: International Man of Mystery;1997
The Ice Storm;1997
I Know What You Did Last Summer;1997
Steel;1997
Wag the Dog;1997
Cop Land;1997
Grosse Pointe Blank;1997
Boogie Nights;1997
Oscar and Lucinda;1997
Jackie Brown;1997
How to Be a Player;1997
Good Will Hunting;1997
Love Jones;1997
An Alan Smithee Film: Burn Hollywood Burn;1997
Prefontaine;1997
Soul Food;1997
The Apostle;1997
Eve's Bayou;1997
The Last Time I Committed Suicide;1997
Air Bud;1997
8 Heads in a Duffel Bag;1997
Ulee's Gold;1997
Two Girls and a Guy;1997
Orgazmo;1997
Dream with the Fishes;1997
Sparkler;1997
Hav Plenty;1997
Hurricane Streets;1997
Trekkies;1997
First Love, Last Rites;1997
Chasing Amy;1997
I Married a Strange Person!;1997
The Sticky Fingers of Time;1997
I Love You, Don't Touch Me!;1997
Armageddon;1998
Lethal Weapon 4;1998
Mulan;1998
Enemy of the State;1998
Meet Joe Black;1998
Deep Impact;1998
Six Days Seven Nights;1998
Lost in Space;1998
Mighty Joe Young;1998
What Dreams May Come;1998
Snake Eyes;1998
Sphere;1998
Doctor Dolittle;1998
Star Trek: Insurrection;1998
The Siege;1998
Hard Rain;1998
The X Files;1998
Saving Private Ryan;1998
You've Got Mail;1998
The Mask of Zorro;1998
The Truman Show;1998
The Prince of Egypt;1998
Antz;1998
The Horse Whisperer;1998
A Civil Action;1998
Practical Magic;1998
Mercury Rising;1998
Holy Man;1998
Beloved;1998
The Thin Red Line;1998
Patch Adams;1998
Stepmom;1998
Out of Sight;1998
Blade;1998
A Bug's Life;1998
Deep Rising;1998
Small Soldiers;1998
The Magic Sword: Quest for Camelot;1998
The Man in the Iron Mask;1998
Hope Floats;1998
Bulworth;1998
One True Thing;1998
The Replacement Killers;1998
The Rugrats Movie;1998
The Newton Boys;1998
Shakespeare in Love;1998
Ever After: A Cinderella Story;1998
He Got Game;1998
Without Limits;1998
I Still Know What You Did Last Summer;1998
Meet the Deedles;1998
The Waterboy;1998
There's Something About Mary;1998
How Stella Got Her Groove Back;1998
Wild Things;1998
Vampires;1998
Simon Birch;1998
Fear and Loathing in Las Vegas;1998
A Night at the Roxbury;1998
The Faculty;1998
The Object of My Affection;1998
Home Fries;1998
The Big Lebowski;1998
The Love Letter;1998
Urban Legend;1998
Dead Man on Campus;1998
The Big Hit;1998
Woo;1998
54;1998
Rounders;1998
Living Out Loud;1998
Celebrity;1998
Can't Hardly Wait;1998
Rushmore;1998
Very Bad Things;1998
American History X;1998
Half Baked;1998
Chairman of the Board;1998
The Players Club;1998
Slums of Beverly Hills;1998
Zero Effect;1998
Desert Blue;1998
The Velocity of Gary;1998
I Got the Hook Up;1998
Gods and Monsters;1998
Taxman;1998
Happiness;1998
Dancer, Texas Pop. 81;1998
Six-String Samurai;1998
Buffalo '66;1998
Next Stop Wonderland;1998
Slam;1998
Safe Men;1998
Naturally Native;1998
Broken Vessels;1998
The Mighty;1998
Pi;1998
20 Dates;1998
Wild Wild West;1999
The 13th Warrior;1999
Star Wars: Episode I - The Phantom Menace;1999
End of Days;1999
Toy Story 2;1999
Bicentennial Man;1999
The Haunting;1999
Fantasia 2000;1999
Inspector Gadget;1999
Anna and the King;1999
Runaway Bride;1999
Mystery Men;1999
The Insider;1999
Entrapment;1999
The Matrix;1999
Fight Club;1999
Random Hearts;1999
The Green Mile;1999
The General's Daughter;1999
Any Given Sunday;1999
Deep Blue Sea;1999
My Favorite Martian;1999
Edtv;1999
Bowfinger;1999
Instinct;1999
Payback;1999
For Love of the Game;1999
The Story of Us;1999
The Iron Giant;1999
The Bone Collector;1999
Three Kings;1999
The Thomas Crown Affair;1999
Galaxy Quest;1999
The Sixth Sense;1999
Double Jeopardy;1999
The Talented Mr. Ripley;1999
The Out-of-Towners;1999
At First Sight;1999
The Deep End of the Ocean;1999
Universal Soldier: The Return;1999
The Hurricane;1999
Magnolia;1999
Blue Streak;1999
Snow Falling on Cedars;1999
Austin Powers: The Spy Who Shagged Me;1999
Blast from the Past;1999
Ride with the Devil;1999
Chill Factor;1999
The Astronaut's Wife;1999
Pushing Tin;1999
Stigmata;1999
Bringing Out the Dead;1999
Cradle Will Rock;1999
Big Daddy;1999
Analyze This;1999
Message in a Bottle;1999
Wing Commander;1999
In Dreams;1999
Mumford;1999
Lake Placid;1999
Flawless;1999
Angela's Ashes;1999
Brokedown Palace;1999
Girl, Interrupted;1999
Muppets from Space;1999
Play It to the Bone;1999
Anywhere But Here;1999
Summer of Sam;1999
Dudley Do-Right;1999
Arlington Road;1999
South Park: Bigger Longer & Uncut;1999
The Rage: Carrie 2;1999
Molly;1999
House on Haunted Hill;1999
Deuce Bigalow: Male Gigolo;1999
The Adventures of Elmo in Grouchland;1999
Varsity Blues;1999
Detroit Rock City;1999
American Beauty;1999
The Muse;1999
Idle Hands;1999
Crazy in Alabama;1999
Superstar;1999
A Walk on the Moon;1999
10 Things I Hate About You;1999
Baby Geniuses;1999
Being John Malkovich;1999
Light It Up;1999
American Pie;1999
Stir of Echoes;1999
Breakfast of Champions;1999
Cruel Intentions;1999
She's All That;1999
Dogma;1999
The Corruptor;1999
Office Space;1999
The Limey;1999
The Best Man;1999
Election;1999
Limbo;1999
Drive Me Crazy;1999
Held Up;1999
The Omega Code;1999
In Too Deep;1999
Outside Providence;1999
A Dog of Flanders;1999
Go;1999
Bats;1999
The Wood;1999
200 Cigarettes;1999
The Virgin Suicides;1999
Doug's 1st Movie;1999
Love Stinks;1999
The Loss of Sexual Innocence;1999
Dreaming of Joseph Lees;1999
Trippin';1999
Jawbreaker;1999
Just Looking;1999
Jesus' Son;1999
Boys Don't Cry;1999
Happy, Texas;1999
Foolish;1999
The Basket;1999
But I'm a Cheerleader;1999
Speedway Junky;1999
The Blair Witch Project;1999
Beyond the Mat;1999
Twin Falls Idaho;1999
Tumbleweeds;1999
The Woman Chaser;1999
Smiling Fish & Goat on Fire;1999
Dinosaur;2000
How the Grinch Stole Christmas;2000
Mission: Impossible II;2000
The Perfect Storm;2000
The Patriot;2000
Gone in Sixty Seconds;2000
Gladiator;2000
The Emperor's New Groove;2000
The Road to El Dorado;2000
What Lies Beneath;2000
Charlie's Angels;2000
Hollow Man;2000
Mission to Mars;2000
Cast Away;2000
102 Dalmatians;2000
Nutty Professor II: The Klumps;2000
The 6th Day;2000
Little Nicky;2000
Thirteen Days;2000
Battlefield Earth;2000
Red Planet;2000
The Adventures of Rocky & Bullwinkle;2000
X-Men;2000
Vertical Limit;2000
Titan A.E.;2000
Unbreakable;2000
What Women Want;2000
Space Cowboys;2000
The Kid;2000
Proof of Life;2000
The Family Man;2000
The Legend of Bagger Vance;2000
Almost Famous;2000
Supernova;2000
The Flintstones in Viva Rock Vegas;2000
Meet the Parents;2000
Shanghai Noon;2000
Me, Myself & Irene;2000
Erin Brockovich;2000
The Replacements;2000
The Beach;2000
What Planet Are You From?;2000
Traffic;2000
Bedazzled;2000
Miss Congeniality;2000
Coyote Ugly;2000
All the Pretty Horses;2000
Finding Forrester;2000
28 Days;2000
Scream 3;2000
Autumn in New York;2000
Pay It Forward;2000
The Art of War;2000
Bless the Child;2000
Get Carter;2000
Reindeer Games;2000
Isn't She Great;2000
The Cell;2000
Wonder Boys;2000
I Dreamed of Africa;2000
Big Momma's House;2000
The Watcher;2000
Men of Honor;2000
Frequency;2000
Remember the Titans;2000
Keeping the Faith;2000
Dracula 2000;2000
Lost Souls;2000
Romeo Must Die;2000
The Next Best Thing;2000
The Whole Nine Yards;2000
Return to Me;2000
Ready to Rumble;2000
Final Destination;2000
Pitch Black;2000
The Crew;2000
The Tigger Movie;2000
Loser;2000
The Yards;2000
Small Time Crooks;2000
Center Stage;2000
Road Trip;2000
Boys and Girls;2000
Drowning Mona;2000
Duets;2000
The Skulls;2000
Where the Heart Is;2000
Love & Basketball;2000
Book of Shadows: Blair Witch 2;2000
Urban Legends: Final Cut;2000
Highlander: Endgame;2000
Here on Earth;2000
Whatever It Takes;2000
The In Crowd;2000
Gossip;2000
Dude, Where's My Car?;2000
Snow Day;2000
Screwed;2000
Brother;2000
The Ladies Man;2000
Bring It On;2000
Bamboozled;2000
Gun Shy;2000
Next Friday;2000
Down to You;2000
The Contender;2000
Boiler Room;2000
The Way of the Gun;2000
American Psycho;2000
Woman on Top;2000
My Dog Skip;2000
Michael Jordan to the Max;2000
Best in Show;2000
Pollock;2000
Memento;2000
Digimon: The Movie;2000
Requiem for a Dream;2000
3 Strikes;2000
An Everlasting Piece;2000
The Original Kings of Comedy;2000
Whipped;2000
Dinner Rush;2000
Songcatcher;2000
You Can Count on Me;2000
The Broken Hearts Club: A Romantic Comedy;2000
Luminarias;2000
Lisa Picard Is Famous;2000
The Specials;2000
The Young Unknowns;2000
Mercy Streets;2000
Groove;2000
Everything Put Together;2000
Chuck & Buck;2000
Urbania;2000
Tadpole;2000
George Washington;2000
The Fast and the Furious;2001
Pearl Harbor;2001
Final Fantasy: The Spirits Within;2001
Monsters, Inc.;2001
Ali;2001
Planet of the Apes;2001
The Mummy Returns;2001
Black Hawk Down;2001
Lara Croft: Tomb Raider;2001
Jurassic Park III;2001
Rush Hour 2;2001
Atlantis: The Lost Empire;2001
A.I. Artificial Intelligence;2001
Ocean's Eleven;2001
